name,weight
acacs,10
adobeconnect,10
afp,10
aim,10
aimini,10
amazon-chime,10
amqp,10
antsp2p,10
aowe,10
apple,10
ares,10
armagetron,10
audiogalaxy,10
avi,10
azar,10
bacnet,10
battlefield,10
battlenet,10
bgp,10
bit,10
bitcoin,10
blackberry,10
bluejeans,10
bolt,10
channel4od,10
chatcube,10
cic,10
citrix,10
citrixgoto,10
clubpenguin,10
comodounite,10
cql,10
crashplan,10
crossfire,10
cyberghost,10
dce_rpc,10
ddl,10
demand5,10
destiny,10
dhcp,10
dhcpv6,10
diameter,10
didi,10
directconnect,10
dnp3,10
dns,10
dofus,10
doook,10
dota2,10
ea-origin,10
ebuddy,10
edk,10
egp,10
facebook,10
facetime,10
fasp,10
feidian,10
ficall,10
fiesta,10
filetopia,10
flash,10
florensia,10
flute,10
freenet,10
fring,10
ftp,10
funshion,10
fuze,10
gadugadu,10
gamekit,10
genvoice,10
gnu,10
goober,10
good,10
google,10
google-hangouts,10
gre,10
gtp,10
guildwars,10
guildwars2,10
h323,10
hamachi,10
hidrive,10
hike,10
hl2,10
http,10
httpactivesync,10
httpgoogletalk,10
httpqqgame,10
httptunnel,10
httpveohtv,10
hulu,10
iax,10
icecast,10
icmp,10
icmpv6,10
icq,10
idrive,10
iec61850,10
igmp,10
imap,10
imesh,10
imo,10
implus,10
instagram,10
io,10
iperf,10
ipip,10
iplayer,10
ipmi,10
ipp,10
ipsec,10
ipsecudp,10
iptv,10
irc,10
isakmp,10
iskoot,10
itv,10
ix,10
jabber,10
jabbernimbuzz,10
jap,10
jbk3k,10
kakao,10
kazaa,10
kerberos,10
kik,10
kontiki,10
l2tp,10
ldap,10
ldp,10
league-of-legends,10
letv,10
license,10
line,10
liveperson,10
lotusnotes,10
lync,10
maginetv,10
mail-ru,10
manolito,10
mapi,10
maplestory,10
mdns,10
meebo,10
megaco,10
mgcp,10
mig33,10
mms,10
modbus,10
mojo,10
move,10
mpeg,10
mplus,10
mqtt,10
msexchange,10
msn,10
msnav,10
msrp,10
mssql,10
multimediamessaging,10
mute,10
mypeople,10
mysql,10
myvideo,10
netbios,10
netflix,10
netflow,10
netmotion,10
nfs,10
nintendo-network,10
notdetect,10
ntlm,10
ntp,10
ocsp,10
odnoklassniki,10
off,10
ogg,10
oovoo,10
opc-ua,10
openflow,10
openft,10
openvpn,10
operamini,10
oracledb,10
orb,10
oscar,10
osh,10
ospf,10
osupdate,10
paltalk,10
pando,10
pandora,10
path-of-exile,10
pcanywhere,10
pcoip,10
pdproxy,10
periscope,10
playstation,10
poisonivy,10
pop,10
popo,10
postgres,10
ppfilm,10
pplive,10
ppp,10
ppstream,10
pptp,10
ps3,10
qq,10
qqlive,10
quake,10
quic,10
quicktime,10
qvod,10
radius,10
rdp,10
rdt,10
realmedia,10
rfactor,10
rhapsody,10
rsvp,10
rsync,10
rtcp,10
rtp,10
rtsp,10
runtastic,10
s7comm,10
sap,10
scada,10
sctp,10
scydo,10
secondlife,10
shoutcast,10
silverlight,10
simfy,10
sip,10
skinny,10
skype,10
skype-for-business,10
sling,10
smb,10
smtp,10
snapchat,10
snmp,10
soap,10
socks,10
softether,10
sopcast,10
soul,10
spdy,10
speedtest,10
splashfighter,10
spotify,10
spreecast,10
srtcp,10
srtp,10
ssdp,10
ssh,10
ssl,10
sstp,10
stealthnet,10
steam,10
streetvoice,10
stun,10
sudaphone,10
supercell,10
syslog,10
t3,10
tango,10
tds,10
teamspeak,10
teamviewer,10
telegram,10
telnet,10
teredo,10
tftp,10
threema,10
thrift,10
thunder,10
tibia,10
tor,10
truphone,10
tunnelvoice,10
tvants,10
tvuplayer,10
twitch,10
ukn,10
ultrabac,10
ultrasurf,10
usenet,10
uusee,10
vcast,10
ventrilo,10
viber,10
vippie,10
vnc,10
voipswitchvoiptunnel,10
vpnx,10
vtun,10
vyprvpn,10
wapwsp,10
wapwtls,10
wapwtpwsp,10
warcraft3,10
webdav,10
webex,10
webqq,10
websocket,10
wechat,10
whatsapp,10
whois,10
wii,10
windowsmedia,10
winmx,10
winny,10
wokf,10
worldofwarcraft,10
wowza,10
wuala,10
xbox,10
xdcc,10
xdmcp,10
yahoo,10
yourfreedom,10
yuilop,10
zalo,10
zattoo,10
zeromq,10
