name,weight
3pc,10
a/n,10
ah,10
argus,10
aris,10
ax.25,10
bbn-rcc-mon,10
bna,10
br-sat-mon,10
cbt,10
cftp,10
chaos,10
compaq-peer,10
cphb,10
cpnx,10
crtp,10
crudp,10
dccp,10
dcn-meas,10
ddp,10
ddx,10
dgp,10
dsr,10
egp,10
eigrp,10
emcon,10
encap,10
esp,10
etherip,10
fc,10
fire,10
ggp,10
gmtp,10
gre,10
hip,10
hmp,10
hopopt,10
iatp,10
icmp,10
idpr,10
idpr-cmtp,10
idrp,10
ifmp,10
igmp,10
igp,10
il,10
i-nlsp,10
ipcomp,10
ipcv,10
ipip,10
iplt,10
ippc,10
iptm,10
ipv4,10
ipv6,10
ipv6-frag,10
ipv6-icmp,10
ipv6-nonxt,10
ipv6-opts,10
ipv6-route,10
ipx-in-ip,10
irtp,10
isis-over-ipv4,10
iso-ip,10
iso-tp4,10
kryptolan,10
l2tp,10
larp,10
leaf-1,10
leaf-2,10
manet,10
merit-inp,10
mfe-nsp,10
micp,10
mobile,10
mobility-header,10
mpls-in-ip,10
mtp,10
mux,10
narp,10
netblt,10
nsfnet-igp,10
nvp-ii,10
ospfigp,10
pgm,10
pim,10
pipe,10
pnni,10
prm,10
ptp,10
pup,10
pvp,10
qnx,10
rdp,10
rohc,10
rsvp,10
rsvp-e2e-ignore,10
rvd,10
sat-expak,10
sat-mon,10
scc-sp,10
scps,10
sctp,10
sdrp,10
secure-vmtp,10
shim6,10
skip,10
sm,10
smp,10
snp,10
sprite-rpc,10
sps,10
srp,10
sscopmce,10
st,10
stp,10
sun-nd,10
swipe,10
tcf,10
tcp,10
tlsp,10
tp,10
trunk-1,10
trunk-2,10
ttp,10
udp,10
udplite,10
uti,10
vines,10
visa,10
vmtp,10
vrrp,10
wb-expak,10
wb-mon,10
wesp,10
wsn,10
xnet,10
xns-idp,10
xtp,10
