name,weight
312-530,10
311-490,10
310-120,10
316-010,10
312-190,10
311-880,10
311-870,10
311-275,10
311-480,10
310-12,10
311-280,10
311-485,10
311-110,10
311-285,10
311-274,10
311-390,10
310-10,10
311-279,10
311-484,10
310-910,10
311-284,10
311-489,10
311-273,10
311-289,10
310-4,10
311-278,10
311-483,10
310-890,10
311-283,10
311-488,10
311-272,10
311-288,10
262-6,10
262-1,10
262-16,10
262-2,10
262-42,10
262-9,10
262-4,10
208-89,10
208-23,10
208-2,10
208-1,10
208-91,10
621-20,10
621-60,10
621-50,10
621-40,10
621-30,10
621-99,10
621-25,10
621-1,10
636-01,10
602-01,10
602-02,10
602-03,10
234-3,10
234-77,10
234-76,10
234-7,10
234-92,10
234-36,10
234-18,10
235-2,10
234-17,10
234-55,10
234-14,10
234-94,10
234-20,10
234-75,10
234-50,10
234-35,10
234-26,10
234-58,10
234-1,10
234-28,10
234-10,10
460-0,10
460-7,10
460-2,10
460-4,10
460-3,10
460-5,10
460-6,10
460-1,10
454-13,10
454-28,10
454-12,10
454-9,10
454-7,10
454-11,10
454-1,10
454-2,10
454-0,10
454-18,10
454-10,10
454-4,10
454-3,10
454-14,10
454-5,10
454-20,10
454-29,10
404-42,10
404-33,10
404-29,10
404-28,10
404-25,10
404-17,10
404-1,10
404-15,10
404-60,10
405-53,10
404-86,10
404-13,10
404-74,10
404-38,10
404-80,10
404-57,10
404-73,10
404-34,10
404-55,10
404-66,10
404-72,10
404-77,10
404-54,10
404-64,10
404-71,10
440-0,10
441-70,10
440-52,10
440-76,10
440-71,10
440-53,10
440-77,10
440-8,10
440-72,10
440-54,10
440-79,10
440-7,10
440-73,10
440-55,10
440-88,10
440-50,10
440-74,10
440-70,10
440-89,10
440-51,10
440-75,10
440-56,10
441-91,10
440-32,10
440-61,10
505-14,10
505-24,10
505-9,10
505-4,10
505-26,10
505-12,10
505-6,10
505-88,10
505-19,10
505-8,10
505-99,10
505-13,10
505-90,10
505-2,10
505-11,10
505-71,10
505-72,10
505-1,10
505-5,10
505-16,10
505-7,10
505-3,10
724-12,10
724-38,10
724-5,10
724-1,10
724-34,10
724-33,10
724-32,10
724-8,10
724-39,10
724-0,10
724-30,10
724-31,10
724-16,10
724-24,10
724-54,10
724-15,10
724-7,10
724-19,10
724-3,10
724-2,10
724-4,10
724-37,10
724-23,10
724-11,10
724-10,10
